fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-11-21,3741,1216,3338,1073,0.32504677893611333,0.32144997004194126
2020-11-22,2486,1492,2077,1229,0.6001609010458568,0.5917188252286952
2020-11-23,8864,3400,7659,2836,0.3835740072202166,0.3702833268050659
2020-11-24,10244,3128,8865,2760,0.30534947286216324,0.311336717428088
2020-11-25,10377,2593,8966,2260,0.2498795412932447,0.2520633504349766
2020-11-26,10571,2774,9113,2413,0.26241604389367135,0.26478656863820915
2020-11-27,10316,2758,8968,2400,0.26735168670027143,0.26761819803746656
2020-11-28,4214,1047,3693,884,0.24845752254390127,0.23937178445708096
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11575,3218,10009,2744,0.27801295896328293,0.27415326206414226
2020-12-01,12974,3423,11219,2972,0.2638353630337598,0.2649077457883947
2020-12-02,14518,3637,12486,3122,0.250516600082656,0.25004004485023223
2020-12-03,14891,3747,12930,3254,0.25162850043650525,0.2516627996906419
2020-12-04,15621,3888,13369,3306,0.24889571730362972,0.2472885032537961
2020-12-05,5455,1473,4825,1290,0.2700274977085243,0.26735751295336785
2020-12-06,3404,939,2879,774,0.27585193889541715,0.26884334838485585
2020-12-07,16409,4710,14050,4012,0.2870376013163508,0.28555160142348757
2020-12-08,18029,4857,15411,4091,0.2693993011259637,0.26545973655181365
2020-12-09,17079,4596,14614,3873,0.2691024064640787,0.26501984398521966
2020-12-10,17742,4541,15313,3889,0.2559463420133018,0.25396721739698297
2020-12-11,17026,4373,14616,3752,0.25684247621285095,0.2567049808429119
2020-12-12,5711,1735,4989,1510,0.3037996848187708,0.30266586490278613
2020-12-13,3337,1040,2740,854,0.3116571771051843,0.3116788321167883
2020-12-14,17389,5104,14539,4274,0.29351889125309105,0.2939679482770479
2020-12-15,17148,5028,14580,4256,0.2932120363890833,0.29190672153635117
2020-12-16,16641,4929,13920,4127,0.2961961420587705,0.29647988505747125
2020-12-17,16883,4655,14184,3886,0.2757211396078896,0.273970671178793
2020-12-18,17509,4934,15002,4108,0.2817979324918613,0.2738301559792028
2020-12-19,6760,1761,5949,1516,0.26050295857988165,0.25483274499915953
2020-12-20,3947,1051,3227,859,0.2662781859640233,0.2661915091416176
2020-12-21,18340,5662,15721,4823,0.30872410032715375,0.30678710005724824
2020-12-22,17415,4910,15016,4164,0.28194085558426646,0.27730420884389984
2020-12-23,16726,4668,14525,3992,0.27908645223006096,0.2748364888123924
2020-12-24,12970,3453,11411,2987,0.2662297609868928,0.2617649636315836
2020-12-25,2562,840,2083,661,0.32786885245901637,0.3173307729236678
2020-12-26,5454,1594,4660,1377,0.29226255958929226,0.29549356223175965
2020-12-27,3734,1064,3173,894,0.2849491162292448,0.28175228490387644
2020-12-28,16166,4451,14055,3913,0.27533094148212295,0.2784062611170402
2020-12-29,17441,4696,15220,4057,0.2692506163637406,0.26655716162943494
2020-12-30,16469,4205,14452,3637,0.2553281923614063,0.2516606698034874
2020-12-31,12833,3435,11432,2984,0.2676692901114315,0.2610216934919524
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4697,1566,3987,1331,0.3334043006174154,0.33383496363180337
2021-01-03,4290,1328,3508,1091,0.3095571095571096,0.31100342075256554
2021-01-04,15801,4541,13769,3926,0.28738687424846526,0.2851332703900065
2021-01-05,18077,5127,15607,4487,0.28362006970183107,0.2874991990773371
2021-01-06,17738,4961,15455,4281,0.2796820385612809,0.2769977353607247
2021-01-07,20145,5326,17166,4609,0.26438322164308764,0.26849586391704533
2021-01-08,18516,4876,15651,4147,0.2633398142147332,0.2649670947543288
2021-01-09,7304,2215,6359,1930,0.30325848849945236,0.303506840698223
